customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15589475,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1
15706552,533,France,Male,36,7,85311.7,1,0,1,156731.91,0
15750181,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0
15659428,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0
15732963,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0
15794171,475,France,Female,45,0,134264.04,1,1,0,27822.99,1
15788448,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0
15729599,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0
15717426,850,France,Male,36,7,0.0,1,1,1,40812.9,0
15585768,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0
15619360,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
15738148,465,France,Female,51,8,122522.32,1,0,0,181297.65,1
15687946,556,France,Female,61,2,117419.35,1,1,1,94153.83,0
15755196,834,France,Female,49,2,131394.56,1,0,0,194365.76,1
15684171,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
15602280,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1
15771573,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1
15766205,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0
15771873,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0
15616550,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0
15768193,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0
15683553,788,France,Female,33,5,0.0,2,0,0,116978.19,0
15702298,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1
15569590,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1
15760861,619,France,Male,43,1,125211.92,1,1,1,113410.49,0
15630053,656,France,Male,45,5,127864.4,1,1,0,87107.57,0
15647091,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0
15623944,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1
15804771,614,France,Male,51,4,40685.92,1,1,1,46775.28,0
15651280,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0
15773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0
15702014,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0
15751208,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0
15592461,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0
15789484,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0
15696061,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0
15641582,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0
15638424,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
15755648,675,France,Female,21,8,98373.26,1,1,0,18203.0,0
15703793,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1
15620344,813,France,Male,29,6,0.0,1,1,0,33953.87,0
15812518,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0
15779052,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0
15770811,519,France,Male,36,9,0.0,2,0,1,145562.4,0
15780961,735,France,Female,21,1,178718.19,2,1,0,22388.0,0
15614049,664,France,Male,55,8,0.0,2,1,1,139161.64,0
15662085,678,France,Female,32,9,0.0,1,1,1,148210.64,0
15575185,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
15803136,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0
15706021,665,France,Female,34,1,96645.54,2,0,0,171413.66,0
15663706,777,France,Female,32,2,0.0,1,1,0,136458.19,1
15641732,543,France,Female,36,3,0.0,2,0,0,26019.59,0
15701164,506,France,Female,34,4,90307.62,1,1,1,159235.29,0
15738751,493,France,Female,46,4,0.0,2,1,0,1907.66,0
15805254,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0
15762418,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1
15625759,729,France,Male,30,9,0.0,2,1,0,151869.35,0
15622897,646,France,Female,46,4,0.0,3,1,0,93251.42,1
15767954,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0
15757535,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1
15731511,808,France,Male,45,7,118626.55,2,1,0,147132.46,0
15809248,524,France,Female,36,10,0.0,2,1,0,109614.57,0
15640635,769,France,Male,29,8,0.0,2,1,1,172290.61,0
15676966,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0
15699461,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0
15738721,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0
15693683,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0
15604348,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0
15633059,413,France,Male,34,9,0.0,2,0,0,6534.18,0
